sample	nodes	edges	seeds	max_dist_to_seed	diameter	components	largest_component	isolated_nodes
Uncharacterized.salivary_gland.diamond	219	5356	19	2	5.0	3	217	2
Uncharacterized.uniprot_ppi.rwr	94	296	23	1	6.0	1	94	0
Uncharacterized.dorsal_root_ganglia.domino	24	19	10	1	3.0	5	14	0
Uncharacterized.hypothalamus.domino	30	25	10	1	3.0	5	13	0
Uncharacterized.hypothalamus.diamond	218	4766	18	2	5.0	4	215	3
Uncharacterized.amygdala.robust	59	95	17	1	7.0	1	59	0
Uncharacterized.brain.no_tool	18	2	18	0	0	16	2	14
Uncharacterized.uniprot_ppi.domino	25	22	10	1	2.0	5	15	0
Uncharacterized.brain.robust_bias_aware	64	108	18	1	6.0	1	64	0
Uncharacterized.dorsal_root_ganglia.rwr	68	217	18	1	5.0	1	68	0
Uncharacterized.amygdala.firstneighbor	1638	35549	17	1	5.0	1	1638	0
Uncharacterized.amygdala.no_tool	17	2	17	0	0	15	2	13
Uncharacterized.hypothalamus.firstneighbor	1653	35792	18	1	5.0	1	1653	0
Uncharacterized.hypothalamus.robust	62	100	18	1	7.0	1	62	0
Uncharacterized.salivary_gland.domino	16	12	6	1	1.0	5	8	0
Uncharacterized.dorsal_root_ganglia.no_tool	18	2	18	0	0	16	2	14
Uncharacterized.salivary_gland.no_tool	19	2	19	0	0	17	2	15
Uncharacterized.amygdala.diamond	217	2085	17	3	5.0	4	214	3
Uncharacterized.hypothalamus.no_tool	18	2	18	0	0	16	2	14
Uncharacterized.dorsal_root_ganglia.robust_bias_aware	70	120	18	1	6.0	1	70	0
Uncharacterized.salivary_gland.robust_bias_aware	74	130	19	1	6.0	1	74	0
Uncharacterized.salivary_gland.firstneighbor	1699	38066	19	1	4.0	1	1699	0
Uncharacterized.uniprot_ppi.robust	62	94	23	1	9.0	3	60	2
Uncharacterized.brain.firstneighbor	1662	35896	18	1	5.0	1	1662	0
Uncharacterized.brain.domino	23	21	6	1	2.0	5	13	0
Uncharacterized.dorsal_root_ganglia.diamond	218	1938	18	2	4.0	4	215	3
Uncharacterized.brain.diamond	218	4737	18	2	5.0	4	215	3
Uncharacterized.uniprot_ppi.firstneighbor	2144	50618	23	1	5.0	1	2144	0
Uncharacterized.uniprot_ppi.diamond	223	2587	23	2	0	6	218	5
Uncharacterized.hypothalamus.rwr	65	180	18	1	5.0	1	65	0
Uncharacterized.dorsal_root_ganglia.firstneighbor	1701	38506	18	1	5.0	1	1701	0
Uncharacterized.amygdala.rwr	60	168	17	1	5.0	1	60	0
Uncharacterized.uniprot_ppi.robust_bias_aware	62	88	23	1	9.0	3	60	2
Uncharacterized.salivary_gland.rwr	75	233	19	1	6.0	1	75	0
Uncharacterized.dorsal_root_ganglia.robust	68	113	18	1	7.0	1	68	0
Uncharacterized.brain.robust	64	106	18	1	6.0	1	64	0
Uncharacterized.amygdala.domino	9	7	3	1	2.0	3	3	0
Uncharacterized.hypothalamus.robust_bias_aware	64	107	18	1	6.0	1	64	0
Uncharacterized.brain.rwr	67	183	18	1	6.0	1	67	0
Uncharacterized.salivary_gland.robust	71	114	19	1	6.0	1	71	0
Uncharacterized.amygdala.robust_bias_aware	58	98	17	1	7.0	1	58	0
Uncharacterized.uniprot_ppi.no_tool	23	4	23	0	0	19	3	16
